Name,Price,Color,Storage,Stars,Rating Score,Display,RAM,Battery,Back Camera,Release Date,SIM Support,Phone Dimensions,Phone Weight,Operating System,Screen Size,Screen Resolution,Screen Type,Screen Protection,Internal Memory,Card Slot,Processor,GPU,Type,Front Camera,Front Flash Light,Front Video Recording,Back Flash Light,Back Video Recording,Bluetooth,3G,4G/LTE,5G,Radio,WiFi,NFC,img_URL,brand,Popularity,RepairCost,Resale_value,Parts_availability
VGO TEL Note 24,"26,899","Glory Black,Glory Gold",256GB - 8GB RAM,5,140 Ratings ,6.78’’ FHD+ Punch Hole Display,8GB + 8GB Extendable RAM,5000 mAh,64MP + 2MP + 2MP,2/1/2024,Dual Nano SIM + TF,168.5 x 76.6 x 8.35MM,no Data,Android 13,6.78’’ FHD+ Punch Hole Display,1080×2460 pixel,no Data,no Data,256GB,no Data,Mediatek Helio G99,Mali-G57 MC2,5000mAh,13MP,no Data,Yes,Yes,Yes,Yes,Yes,Yes,no Data,unspecified,Yes,No,https://images.priceoye.pk/vgo-tel-note-24-pakistan-priceoye-9p92g-500x500.webp,VGO,70,8273.009884,22864.15,40
Itel S24,"29,099","Dawn White,Coastline Blue,Starry Black","128GB-16GBRAM,256GB - 16GB RAM",5, 1 Ratings ,6.6 inches,16GB (8GB + 8GB Expandable),5000 mAh,108MP,4/23/2024,Dual sim,8.3 mm,192 g,itel OS 13,6.6 inches,720 x 1612 pixels,Punch-hole HD+ Display,no Data,128/256 GB,no Data,Helio G91 Ultra,Mali-G52 MC2,5000mAh,8MP,no Data,no Data,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,no Data,https://images.priceoye.pk/itel-s24-pakistan-priceoye-yovcn-500x500.webp,Itel,70,8912.70473,24734.15,40
Realme Narzo 50A Prime,"23,799","Black,Blue","64GB - 4GB RAM,128GB - 4GB RAM",5,146 Ratings ,6.6 inches,4 GB,5000 mAh,50 MP + 2 MP + 0.3 MP,5/30/2023,"Dual SIM (Nano-SIM, dual stand-by)",164.4 x 75.6 x 8.1 mm,189 g,"Android 11, Realme UI 2.0",6.6 inches,1080 x 2408 pixels,"IPS LCD, 600 nits (peak)",no Data,64/128 GB,microSDXC (dedicated slot),Unisoc Tiger T612,Mali-G57,"Li-Po 5000 mAh, non-removable",8 MP,No,720p@30fps,Yes,1080p@30fps,Yes,Yes,Yes,No,No,Yes,No,https://images.priceoye.pk/realme-narzo-50a-prime-pakistan-priceoye-bcudz-500x500.webp,Realme,70,7362.142846,19991.16,70
Samsung Galaxy A04,"17,999","Black,White,Copper","32GB - 3GB RAM,64GB - 4GB RAM",5,514 Ratings ,6.5 inches,3/4 GB,5000 mAh,50 MP + 2 MP,2/28/2022,"Dual SIM (Nano-SIM, dual stand-by)",164.4 x 76.3 x 9.1 mm,192 g,"Android 12, One UI Core 4.1",6.5 inches,720 x 1600 pixels,"PLS LCD Capacitive Touchscreen, 16M Colors, Multitouch",no Data,32/64 GB,microSDXC (dedicated slot),2.35 Ghz Octa Core,no Data,"Li-Po 5000 mAh, non-removable",5 MP,No,Yes,Yes,1080p@30fps,Yes,Yes,Yes,No,no Data,Yes,No,https://images.priceoye.pk/samsung-galaxy-a04-pakistan-priceoye-rwj43-500x500.webp,Samsung,90,3828.25923,17369.035,90
VGO TEL New 15,"15,999","Gold,Black","64GB - 3GB RAM,64GB - 4GB RAM",5,42 Ratings ,6.5 inches,4GB + 4GB Extended Ram,5000 mAh,13 MP,7/17/2023,Dual Sim,no Data,no Data,no Data,6.5 inches,no Data,HD+ Water Drop,no Data,64 GB,no Data,Mediatek Helio G25 Octa core Processor,no Data,5000 mAh,8 MP,no Data,no Data,Yes,Yes,Yes,Yes,Yes,No,no Data,Yes,No,https://images.priceoye.pk/vgo-tel-new-15-pakistan-priceoye-fvrpy-500x500.webp,VGO,70,5021.233846,13439.16,70
Nokia 105 2023,"4,449",Charcoal,STANDARD,5,33 Ratings ,1.8 inches,Standard,1000 mAh,No,5/18/2023,Dual SIM,115.1 x 49.4 x 14.5 mm,78.7 g,S30+,1.8 inches,120 x 160 pixels,QQVGA,no Data,Standard,No,no Data,no Data,Li-Ion 1000 mAh,No,No,No,Yes,No,No,No,No,No,Yes,No,No,https://images.priceoye.pk/nokia-105-2023-pakistan-priceoye-rqo7l-500x500.webp,Nokia,70,1425.949846,3737.16,70
Tecno Spark 20C,"23,749","Gravity Black,Mystery White,Alpenglow Gold,Magic Skin Green",128GB - 4GB RAM,5,43 Ratings ,6.6 Inches,4 GB,5000 mAh,50 MP + 0.08 MP,11/27/2023,"Dual SIM (Nano-SIM, dual stand-by)",163.7 x 75.6 x 8.6 mm,no Data,Android 13,6.6 Inches,720 x 1612 Pixels,IPS LCD,no Data,128 GB,microSDXC,Mediatek,PowerVR GE8320,5000 mAh,8 MP,Yes,Yes,Yes,1080p@30fps,Yes,Yes,Yes,no Data,FM radio,Yes,No,https://images.priceoye.pk/tecno-spark-20c-pakistan-priceoye-0qn92-500x500.webp,Tecno,70,7347.360576,19949.16,70
Xiaomi Redmi A2 Plus,"19,099","Light Blue,Light Green,Black",64GB - 3GB RAM,5,487 Ratings ,6.52 Inches,3 GB,5000 mAh,8 MP + 0.08 MP,8/15/2023,Dual SIM,164.9 x 76.75 x 9.09 mm,192 g,Android 12 (Go Edition),6.52 Inches,1600 x 720 Pixels,HD+ Dot Drop display,no Data,64 GB,Supports expandable storage up to 1TB,Octa-core,Mediatek Helio G36,5000 mAh,5 MP,no Data,1080p | 1920 x 1080 at 30fps,Yes,1080p | 1920 x 1080 at 30fps,Yes,Yes,Yes,No,Yes,Yes,No,https://images.priceoye.pk/xiaomi-redmi-a2-plus-pakistan-priceoye-e82u2-500x500.webp,Xiaomi,70,5960.000884,16043.16,70
ZTE Blade A54,"18,499","Gray,Blue,Lilac Purple","64GB - 4GB RAM,128GB - 4GB RAM",5,13 Ratings ,6.6 inches,4 GB,5000 mAh,13 MP,1/16/2024,"Dual SIM (Nano-SIM, dual stand-by)",164 x 75.8 x 8.5 mm,185 g,Android 13,6.6 inches,720 x 1612 pixels,"IPS LCD, 90Hz",no Data,64GB,microSDXC (dedicated slot),Unisoc SC9863A,IMG8322,5000 mAh,2 MP,no Data,Yes,Yes,1080p@30fps,Yes,Yes,Yes,No,unspecified,Yes,Yes (market/region dependent),https://images.priceoye.pk/zte-blade-a54-pakistan-priceoye-trrd0-500x500.webp,ZTE,70,5779.169423,15724.15,40
Vivo Y03,"23,999","Space Black,Gem Green",64GB - 4GB RAM,5,7 Ratings ,6.56 Inches,4 GB (4 GB Expandable),5000 mAh,13 MP + 0.08 MP,3/13/2024,2 nano SIMs + 1 microSD (Dual SIM Dual Standby (DSDS)),163.63 × 75.58 × 8.39 mm,185 g,Funtouch OS 14.0 on Android 14,6.56 Inches,1612 × 720 Pixels,"IPS LCD, 90Hz",N-A,64 GB,microSDXC (dedicated slot),Mediatek Helio G85,Mali-G52 MC2,5000 mAh,5 MP,no Data,Yes,Yes,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No,https://images.priceoye.pk/vivo-y03-pakistan-priceoye-e8mx9-500x500.webp,Vivo,85,5021.343076,22199.075,50
Dcode Cygnal 2,"20,349","Denim Blue,Morning Blue,Mint Green,Gunmetal Gray",64GB - 3GB RAM,5,13 Ratings ,6.52 inches,3GB RAM + 3GB Extended RAM,5000 mAh,13MP + Portrait Dual Rear Camera,1/19/2023,Dual SIM Dual Standby,164.5 x 76 x 9.1 mm,185 gm,Android S (12),6.52 inches,1600 x 720,HD+ Waterdrop Display,no Data,64GB ROM + Expandable up to 256GB,MicroSD Card,Helio A22,no Data,5000 mAh Battery,5 MP,No,Yes,Yes,Yes,Yes,Yes,Yes,No,no Data,Yes,No,https://images.priceoye.pk/dcode-cygnal-2-pakistan-priceoye-wvbd6-500x500.webp,Dcode,70,6335.398961,17093.16,70
Realme C67,"36,699","Sunny Oasis,Black Rock",128GB - 8GB RAM,5,34 Ratings ,6.72 Inches,8GB + 8GB,5000 mAh,Dual Camera: 108 MP + 2MP,1/10/2024,"Dual Sim, Dual Standby (Nano-SIM)",164.6 x 75.4 x 7.6 mm,185 g,Android 14 OS,6.72 Inches,1080 x 2400 Pixels,IPS LCD Capacitive Touchscreen,Panda Glass,128GB,microSDXC (dedicated slot),Qualcomm SM6225 Snapdragon 685 (6 nm),Adreno 610,5000 mAh,8 MP,no Data,1080p@30fps,LED flash,1080p@30fps,Yes,Yes,Yes,no Data,Yes,Yes,Yes,https://images.priceoye.pk/realme-c67-pakistan-priceoye-pack3-500x500.webp,Realme,70,11079.59042,31194.15,40
Oppo A18,"30,299","Glowing Blue,Glowing Black",128GB - 4GB RAM,5,9 Ratings ,6.56 Inches,4 GB,5000 mAh,8 MP + 2 MP,2/12/2024,"Dual Sim, Dual Standby (Nano-SIM)",163.74 x 75.03 x 8.16 mm,188 g,ColorOS 13.1,6.56 Inches,720 x 1612 Pixels (~269 PPI),HD+ LCD,no Data,128 GB,microSDXC,MediaTek Helio G85,Mali G52 MC2 @1000MHz,5000 mAh,5 MP,no Data,Video (1080p@30fps),LED Flash,Video (1080p@30fps),Yes,Yes,Yes,No,Yes,Yes,No,https://images.priceoye.pk/oppo-a18-pakistan-priceoye-93un4-500x500.webp,Oppo,85,6229.375346,28026.575,50
Samsung Galaxy S24 Ultra (12GB-256GB),"370,000","Titanium Grey,Titanium Black,Titanium Violet,Titanium Yellow",256GB - 12GB RAM,5,9 Ratings ,6.8 Inches,12 GB,5000 mAh,200 MP + 50 MP + 12 MP + 10 MP,2/12/2024,Dual-SIM (SIM 1 + SIM 2 / SIM 1 + eSIM / Dual eSIM),162.3 x 79.0 x 8.6,232g,Android,6.8 Inches,3120 x 1440 (Quad HD+),Dynamic AMOLED 2X,no Data,256 GB,no Data,Octa-Core,no Data,5000 mAh,12 MP,no Data,Yes,Yes,UHD 8K (7680 x 4320) @30fps,Yes,Yes,Yes,Yes,no Data,Yes,Yes,https://images.priceoye.pk/samsung-galaxy-s24-ultra-12-256gb-pakistan-priceoye-beuzg-500x500.webp,Samsung,90,18500,364450,60
Dcode Cygnal 3 Pro,"20,399","Arctic White,Mint Green,Purple,Midnight Blue",128GB - 4GB RAM,5,46 Ratings ,6.52 Inches,4 GB ( 3 GB Extended ),5000 mAh,13 MP,9/6/2023,Dual SIM Dual Standby,164.54 x 75.97 x 9.0 mm,205 g,Android 13,6.52 Inches,1600 x 720 Pixels,HD+ IPS,no Data,128 GB,Supported up to 1TB,"MediaTek Helio G37 ,Octa-Core, 2.3GHz, 12nm",no Data,5000 mAh,8 MP,no Data,Yes,Yes,Yes,Yes,Yes,Yes,No,no Data,Yes,No,https://images.priceoye.pk/dcode-cygnal-3-pro-pakistan-priceoye-d0lx3-500x500.webp,Dcode,70,6350.377384,17135.16,70
Nokia 105 Classic,"3,699","Charcoal,Blue",STANDARD,5,5 Ratings ,1.77 inches,Standard,800 mAh,Yes,3/27/2024,Dual Sim,no Data,no Data,S30+,1.77 inches,no Data,no Data,no Data,Standard,no Data,no Data,no Data,800 mAh,no Data,NO,NO,Yes,Yes,no Data,No,No,No,YES,NO,NO,https://images.priceoye.pk/nokia-105-classic-pakistan-priceoye-gh84n-500x500.webp,Nokia,70,1187.16773,3144.15,40
VGO TEL New 16,"16,699","Dark Blue,Light Blue,White",64GB - 4GB RAM,5,9 Ratings ,6.517 inches,4 GB,5000 mAh,13 MP,12/21/2023,Dual sim,164.5 x 76 x 9mm,no Data,Android 13,6.517 inches,no Data,IPS LCD capacitive touchscreen,no Data,64GB,MicroSD card,"Octa Core 2.2GHz, 12nm",IMG PowerVR GE8320,5000mAh,5MP,no Data,Yes,Dual LED flash,1080p@30fps,Yes,Yes,Yes,no Data,unspecified,Yes,no Data,https://images.priceoye.pk/vgo-tel-new-16-pakistan-priceoye-n830w-500x500.webp,VGO,70,5234.18273,14027.16,70
Samsung Galaxy A25,"78,999","Blue Black,Light Blue,Yellow",256GB - 8GB RAM,5, 1 Ratings ,6.5 Inches,8 GB,5000 mAh,50 MP + 8 MP + 2 MP,12/11/2023,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",161 x 76.5 x 8.3 mm,197 g,"Android 14, One UI 6",6.5 Inches,1080 x 2340 Pixels,"Super AMOLED, 120Hz, 1000 nits (HBM)",no Data,256 GB,microSDXC (uses shared SIM slot),Exynos 1280,Mali-G68,"5000 mAh, non-removable",13 MP,no Data,1080p@30fps,Yes,"4K@30fps, 1080p@30fps, gyro-EIS",Yes,Yes,Yes,Yes,Market/region dependent,Yes,Yes (market/region dependent),https://images.priceoye.pk/samsung-galaxy-a25-pakistan-priceoye-su4sb-500x500.webp,Samsung,90,14022.36808,77024.025,90
